: homophones-analogy-type-I
caret carat manor manna
pattern patten rhyme rime
i ai faze fays
dine dyne morn mourn
wreck reck wean ween
coy koi liken lichen
clique click gator gaiter
tents tense weather whether
stridor strider whir were
pray prey weir we're
basque bask pah pa
bowl boll rosary rosery
its it's unreal unreel
he'll heal paschal pascal
belligerents belligerence chic sheik
auk orc bused bussed
attendance attendants tis teas
calyx calix tea tee
red read valence valance
coolie coolly watt what
dental dentil laze leis
boos booze krone krona
llama lama rain rein
feign fane pistil pistol
eyrie aerie pours pores
cop kop inveighed invade
farrow pharaoh rack wrack
idle idol impossible impassible
gourde gourd sunn sun
block bloc cite sight
rackett racquet sew so
par pa size sighs
correspondents correspondence parse pass
lien lean perse purse
pee pe why wye
kneed knead ticks tix
plain plane stile style
divisor devisor petrel petrol
conker conquer faun fawn
rigger rigor sou sault
mean mesne racket racquet
ads adze racquet rackett
bullion bouillon paschal pascal
bask basque torcher torture
lock loch whin win
baste based bittern bitten
guarantee guaranty succor sucker
equater equator stade stayed
burly burley pyx pics
mourn morn mustered mustard
aren't aunt chute shoot
cosine cosign wicker whicker
massed mast purist purest
eyre ayre pecten pectin
divisor devisor lieu loo
lade laid pouffe poof
hey heigh pe pea
cere sear pawn porn
hi high leak leek
hansom handsome mooed mood
imminent immanent know no
tulle tool whys wise
aid aide roux roo
forme form sees seas
idle idol infusor infuser
poof pouf trussed trust
aye i doughs doze
friar fryer missed mist
chitin chiton far fah
bye bi flower flour
slew slough why wye
pics pix prise pries
cashew cachou heart hart
murderess murderous pee pe
whether weather wight wite
perse purse slue slew
auger augur phial faille
senser censer seraph serif
heel heal sennet sennit
lays lase tail tael
curtsy courtesy razor razer
dough doe rows rose
canter cantor read redd
guilt gilt torque talk
halve have matte mat
all awl weakly weekly
aire ayre cent sent
condescendents condescendence leased least
bye buy permanence permanents
break brake par pas
staff staph whin win
narc nark packs pax
pupal pupil slay sleigh
packed pact pressed prest
knap nap rapped wrapped
taut tort tease tees
adze ads picks pix
crummy crumby do dough
mode mowed shyer shire
doc dock meeting meting
aire air colonel kernel
bole bowl idyll idle
fear fere hae heigh
gopher gofer rued rood
correspondents correspondence hart heart
fryer friar rang wrang
exalt exult y'all yawl
cell cel taille tail
jell gel rite write
crummie crummy wright write
lea li neigh nee
compliment complement dram drachm
mien mean prise prize
bust bused ewes use
err er sow so
absents absence uncle uncal
soled sold style stile
heel heal tye tie
nae nay resistance resistants
craft kraft lede lead
kitten chitin toad towed
leys laze poler poller
bight byte overdue overdo
laches latches swat swot
rabbet rabbit wynn whin
cist cyst cygnet signet
manner manna soot suit
cel cell quartz quarts
groan grown passed past
bi buy leys lays
lack lakh rhos rows
patten paten we'll weal
augur auger berry bury
consent concent drachm dram
douce juice prays praise
patience patients spa spar
maize maze sigher sire
wholly holy taut taught
picks pyx retarred retard
gored gaud whee we
apatite appetite noes nose
phial file flay fley
axel axil rain rein
calix calyx gourd gorde
phase fays sown sone
bald balled forgo forego
wholly holy stoup stupe
or oar stoup stoop
bawl ball cellar sellar
cinque sink news gnus
dependents dependence eve eave
drachm dram duel joule
cozy cosy spade spaed
yews use tied tide
holey wholly pes pease
buyer byre knob nob
lakh lac leas laze
hale hail rode road
banned band roomy roomie
sellar seller reeve reave
ere eyre crepe crape
wrack rack red redd
chard charred claque clack
kyu cue mho mot
bailee bailey dissidents dissidence
caird cared whiled wild
blare blair putty puttee
caul call rondeau rondo
policlinic polyclinic reseed recede
brood brewed timbre timber
mean mesne way weigh
bight byte draught draft
ate ait cedar seeder
flaw floor rex wrecks
jell gel presence presents
been bean owed ode
coin quoin tier tear
caste cast sear seer
bite byte cymbal symbol
blue blew seamen semen
bait bate blue blew
crosse cross sone sown
paid payed sewer suer
high hi plainer planar
cite site rhyme rime
penitence penitents row rho
i ai air aire
kissed cist stake steak
karat carat si see
assent ascent worst wurst
dean dene lade leid
eyre heir knock nock
gneiss nice yoke yolk
flacks flax wether whether
humorous humerus rose rhos
break brake terne tern
sacques sax slough slew
tai tie tier tyre
braze braise sucker succor
clique klick leas leys
ceil seel toad toed
flak flack semen seaman
balled bawled sari sorry
jewel duel tye tie
chrism chrisom urn erne
principal principle tailor tailer
bole boll murderous murderess
mat matte why wye
site cite retard retarred
ewe yew mucus mucous
sere seer sic sick
been bean sacs sacks
awe oar prose pros
kist kissed mien mean
dust dost lays leys
breech breach spitz spits
caret carrot missed mist
bite bight palette pallet
liar lyre plait plate
scents cents side sighed
freeze frees gin jinn
byte bite seamen seaman
for fore therefore therefor
prays prase pupal pupil
leak leek pried pride
birth berth sacs sacks
fold foaled passed past
chard charred mousse moose
exercise exorcise remittents remittance
sighed side troupe troop
belligerence belligerents dike dyke
braze brays irk erk
aye i airy eyrie
right write yawl y'all
indigents indigence lean lien
larva lava whin wynn
laid leid patience patients
coax cokes flower flour
cist cyst stere steer
bussed bust gauge gage
ide i'd pinion pinon
barre bar gorde gored
gourde gored taught tort
cox cocks sacques sacs
cashew cachou wicker whicker
sensor censer ring wring
neap neep wacks whacks
ewe you resinate resonate
licht licked pore poor
logger lager whiled wild
ton tun yawl y'all
burred bird dentil dental
door dor grisly gristly
batt bat tees tease
dying dyeing tartar tarter
chronical chronicle sloe slow
copse cops rum rhumb
imminent immanent whined wind
blew blue planer planar
eyelet islet fungous fungus
accede axseed rues roos
purest purist rite wright
axel axle mutuel mutual
ait eight sea si
nu new tea tee
prase prays rapt rapped
bee be scalar scaler
draft draught sacs sacques
tease tees which witch
freeze frieze heeled healed
doze doughs mousse moose
canvass canvas duel dual
born bourne kist cist
leas lase policlinic polyclinic
duel dual tighten titan
culler color reave reeve
main mein rondo rondeau
pease pees war wore
gneiss nice precedence presidents
tope taupe why wye
fley flay manor manner
i'll isle fellow felloe
seeder ceder wind wynd
rabbet rabbit tonne ton
four fore tough tuff
vein vane watt wot
leader liter rowed rode
gourd gorde mac mack
pee pea steer stere
aerie aery nun none
ai eye lay lea
coy koi flaw floor
chantey shanty pyx pics
felloe fellow limn limb
bold bowled royal roil
boll bowl bullion bouillon
holm hom shear sheer
ley lei steal stele
council counsel wild wiled
gilled guild police pelisse
cherry chary tar tahr
pees pes rows rouse
pees peas teal teil
batt bat style stile
pouffe pouf radicle radical
bell bel team teem
furs firs knight night
principle principal psalter salter
i'd ide rapt wrapped
meet mete relaid relayed
assistance assistants clique click
raise rays tease tees
orc auk hears here's
paw pore sacks sacs
reseed recede rood rude
musth mussed tuba tuber
balm bomb use yews
ait ate buss bus
lichen liken ryes rise
hist hissed ruff rough
awful offal tody toady
few phew lakh lac
heir ere very vary
joule duel pean peen
guys guise yack yak
flay fley route root
heroine heroin pard parred
they're their villus villous
kohl cole infusor infuser
cymbal symbol rough ruff
bawd baud beer bier
burrow burro seed cede
bight byte liar lyre
great grate mews muse
heald healed pouf pouffe
mot mow welled weld
bail bale reck wreck
bass base tucks tux
byte bite shea she
baler bailor rap wrap
gnu new lade laid
mazer maser preys prays
sundae sunday jewel duel
as ass lesser lessor
bray brae raze rays
prints prince vale veil
peak peke principle principal
lead led si sea
peke peak pean peen
ait eight wheel weal
dual joule instance instants
lea lee leased least
murderess murderous stele steal
hey hae rho roe
call col seamen semen
populous populace resinate resonate
fane fain inductance inductants
lier liar wiled wild
nice gneiss massed mast
retarred retard wane wain
phew few hoe ho
air eyre gast gassed
dewed dude par pah
here's hears verger verdure
ante anti spec speck
seller cellar redd read
neep neap route root
bah baa holey holy
cast caste guaranty guarantee
clique click roll role
bier beer continence continents
burro borough radical radicle
bin been devisor divisor
patients patience planer planar
succulence succulents summary summery
mood mooed picks pix
cocoa coco two to
loot lute torte taught
brooch broach weald wheeled
wheel weal yack yak
brays braise tea ti
lam lamb verst versed
lase leis teem team
hoc hock titer tighter
lava larva what watt
gangue gang rays raise
duct ducked wheal we'll
gast gassed wite wight
fie phi neigh nay
rays raise reave reeve
days daze gaud gourd
incandescents incandescence mane mein
carpel carpal mat matte
raiser razor resistants resistance
flack flak incidents incidence
cereal serial lei lea
deuce juice fane feign
rise ryes wain wane
caul col devisor deviser
pique peke senate sennit
pennants penance whined wind
lazar laser main mane
corps caw pours pores
nee nay weaver weever
lays lase sachet sashay
seat cete juice dues
chary cherry ring wring
booze boos lieu loo
sensor senser mesne mien
canter cantor faro farrow
air aire billed build
lays leas suer sewer
juice deuce par pas
mode mowed white wite
conch conk mazer maser
cellar sellar od odd
dew due traitorous traitoress
he'd heed set sett
cosher kosher pupal pupil
ant aunt phreak freak
seel seal slay sleigh
chitin chiton sprits spritz
borough burrow pox pocks
axle axil steel stele
gauge gage gourde gorde
marquee marquis whined wind
delinquence delinquents remittents remittence
course coarse lazar laser
boar bore taut tort
sew so succulence succulents
burro borough draft draught
bays beys mein mane
bard barred coal kohl
chyle kill wall waul
prase praise wretch retch
burrow borough yore you're
canon cannon hoc hock
leaver lever teas tease
cellar seller lacks lax
census senses locks lochs
cordate chordate lays leas
dun done whirled whorled
earn urn ewe you
blue blew spayed spade
sennit senate weekly weakly
instance instants reave reeve
mussel muscle staff staph
faery fairy rouse rows
psi scye we'll wheel
caries carries scye psi
here hear preys praise
accede axseed galipot gallipot
dessert desert peak peek
veracious voracious wheeled wield
cerate serrate torte taught
alms arms drey dray
brays braes chanty shanty
penance pennants whet wet
cared caird hoop whoop
foreward forward wore war
autarky autarchy holey wholly
need kneed toe tow
logger laager metal mettle
adze ads peen pean
grosser grocer peen pean
peke pique rues roos
bad bade meteor meatier
side sighed tear tier
pores pours sun son
doe dough rapt rapped
sew so too two
fayre fair roos ruse
cue queue saw soar
forebear forbear radical radicle
ere aire pah par
check cheque clabbered clapboard
prose pros tail tale
or awe poller polar
jalousie jealousy mince mints
sennit sennet teem team
adventurous adventuress tux tucks
basil basal quartz quarts
session cession trey tray
neigh nae navel naval
coolie coolly feaze fees
leased least loess less
ai aye tern terne
fat phat plural pleural
brougham broom overdue overdo
loo lieu sibilants sibilance
flocks phlox lux luxe
more moor wheeled wield
oh owe poll pole
bassist basest rues roos
hurts hertz perse purse
balled bald tale tael
leaf lief resistance resistants
census senses sum some
does doze knows noes
brews bruise inn in
belle bel ileum ilium
lea lay rout route
flaw floor sycosis psychosis
lox lochs pouf pouffe
beaut butte hoar whore
lede lead ticks tix
farrow pharaoh sauce source
llama lama quints quince
eyrie airy rapt rapped
basest bassist taut taught
